Name,Team,Pos,Injury / Surgery Date,Injury / Surgery,Status,IL Retro Date,Eligible to Return,Return Date,Latest Update
Silvino Bracho,ARI,RP,03/13/19,Tommy John surgery,Active roster,07/20/20,09/03/20,09/25/20,Activated
Michael Fulmer,DET,SP,03/27/19,Tommy John surgery,Active roster,,,07/23/20,Activated
Anderson Espinoza,SDP,SP,04/22/19,Tommy John surgery,45-Day IL,02/12/20,06/30/20,09/28/20,Out for 2020 season
Carlos Rodón,CHW,SP,05/15/19,Tommy John surgery,,07/20/20,07/30/20,07/24/20,Activated
Corbin Martin,ARI,SP,07/03/19,Tommy John surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
Dustin Pedroia,BOS,2B,08/07/19,Knee joint procedure,45-Day IL,02/23/20,06/30/20,09/28/20,Out for 2020 season
Jameson Taillon,PIT,SP,08/13/19,Tommy John surgery,45-Day IL,02/13/20,06/30/20,09/28/20,Out for 2020 season
David Robertson,PHI,RP,08/15/19,Tommy John surgery,45-Day IL,02/12/20,06/30/20,09/28/20,Out for 2020 season
Reyes Moronta,SFG,RP,09/10/19,Shoulder surgery (torn labrum),45-Day IL,02/12/20,06/30/20,09/28/20,No timetable for return
Austin Adams,SDP,RP,Oct '19,Knee surgery (torn ACL),Active roster,02/12/20,06/30/20,09/20/20,Activated
Jed Lowrie,NYM,INF,Feb '20,Knee discomfort,45-Day IL,07/20/20,09/03/20,09/28/20,No timetable for return
Aramis Garcia,SFG,C,02/06/20,Hip surgery,45-Day IL,03/10/20,06/30/20,09/28/20,Out for 2020 season
Daniel Mengden,OAK,SP/RP,02/10/20,Arthroscopic elbow surgery,,,,07/22/20,Activated
Mitch Haniger,SEA,OF,1/23/20; 2/13/20,Core surgery; Microdiscectomy,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
Luis Severino,NYY,SP,02/27/20,Tommy John surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
Brock Burke,TEX,SP,02/28/20,Shoulder surgery (labrum debridement),45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
Jeremy Walker,ATL,RP,Mar '20,Shoulder impingement,45-Day IL,07/20/20,09/03/20,09/28/20,No timetable for return
Yennsy Díaz,TOR,SP/RP,03/09/20,Strained lat,45-Day IL,03/15/20,06/30/20,09/28/20,No timetable for return
Trey Mancini,BAL,1B/OF,03/12/20,Surgery (colon cancer),45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
Rogelio Armenteros,HOU,SP/RP,03/13/20,Elbow surgery (bone spur),45-Day IL,07/20/20,09/03/20,09/28/20,No timetable for return
Andrés Muñoz,SEA,RP,03/20/20,Tommy John surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
Tyler Beede,SFG,SP/RP,03/20/20,Tommy John surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
Noah Syndergaard,NYM,SP,03/26/20,Tommy John surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
Chris Sale,BOS,SP,03/30/20,Tommy John surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
Joely Rodríguez,TEX,RP,April '20,Strained lat,,07/20/20,07/30/20,08/04/20,Activated
Kevin Kramer,PIT,INF/OF,May '20,Hip surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
Yoshihisa Hirano,SEA,RP,Jun '20,COVID-19,Active roster,07/20/20,,08/21/20,Activated
Chris Archer,PIT,SP,06/02/20,Thoracic outlet syndrome surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
John Brebbia,STL,RP,06/03/20,Tommy John surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
Caleb Smith,ARI,SP,Jul '20,Undisclosed,Active roster,08/03/20,,09/11/20,Activated
Freddie Freeman,ATL,1B,Jul '20,COVID-19,Active roster,07/20/20,,07/24/20,Activated
Will Smith,ATL,RP,Jul '20,COVID-19,Active roster,07/20/20,,08/06/20,Activated
Phil Pfeifer,ATL,SP/RP,Jul '20,Elbow bone contusion,45-Day IL,07/20/20,09/03/20,09/28/20,No timetable for return
Jacob Webb,ATL,RP,Jul '20,Strained shoulder,Active roster,07/20/20,09/03/20,09/08/20,Activated
Dwight Smith Jr.,BAL,OF,Jul '20,COVID-19,Player Pool,07/20/20,,07/22/20,Activated
John Means,BAL,SP,Jul '20,Shoulder fatigue,,07/20/20,07/30/20,07/30/20,Activated
Eduardo Rodriguez,BOS,SP,Jul '20,COVID-19,10-Day IL,07/20/20,,09/28/20,Out for 2020 season
Darwinzon Hernández,BOS,RP,Jul '20,COVID-19,,07/20/20,,08/20/20,Activated
Josh Taylor,BOS,RP,Jul '20,COVID-19,,07/20/20,,08/17/20,Activated
Nomar Mazara,CHW,OF,Jul '20,Illness,Active roster,07/21/20,,08/03/20,Activated
José Ruiz,CHW,RP,Jul '20,Undisclosed,Active roster,07/20/20,,08/09/20,Activated
Yoán Moncada,CHW,3B,Jul '20,COVID-19,Active roster,07/20/20,07/30/20,07/24/20,Activated
Delino DeShields,CLE,OF,Jul '20,COVID-19,Active roster,07/20/20,,08/06/20,Activated
Charlie Blackmon,COL,OF,Jul '20,COVID-19,Active roster,07/20/20,,07/24/20,Activated
Daniel Norris,DET,SP,Jul '20,COVID-19,Active roster,07/20/20,,08/02/20,Activated
Dario Agrazal,DET,SP,Jul '20,Strained forearm,45-Day IL,07/24/20,09/07/20,09/28/20,No timetable for return
Sergio Alcántara,DET,SP/RP,Jul '20,Undisclosed,Active roster,07/20/20,,08/07/20,Activated
Troy Stokes Jr.,DET,OF,Jul '20,Hand surgery,45-Day IL,08/07/20,09/21/20,09/28/20,No timetable for return
Daz Cameron,DET,SP/RP,Jul '20,COVID-19,Active roster,07/20/20,,09/09/20,Activated
Isaac Paredes,DET,SP/RP,Jul '20,Undisclosed,Active roster,07/20/20,,08/07/20,Activated
Brad Peacock,HOU,RP,Jul '20,Shoulder soreness,,07/20/20,07/30/20,09/05/20,Activated
José Urquidy,HOU,SP,Jul '20,COVID-19,Active roster,07/20/20,,09/05/20,Activated
Yordan Alvarez,HOU,DH,Jul '20,COVID-19,,07/20/20,,08/14/20,Activated
Cionel Pérez,HOU,RP,Jul '20,Undisclosed,Active roster,07/20/20,,08/20/20,Activated
Salvador Perez,KCR,C,Jul '20,COVID-19,Active roster,07/20/20,,07/24/20,Activated
Cam Gallagher,KCR,C,Jul '20,COVID-19,Active roster,07/20/20,,08/02/20,Activated
Jakob Junis,KCR,SP,Jul '20,COVID-19,Active roster,07/20/20,,08/02/20,Activated
Randy Rosario,KCR,RP,Jul '20,Arm tightness,Active roster,07/20/20,07/30/20,08/21/20,Activated
Brad Keller,KCR,SP,Jul '20,COVID-19,Active roster,07/20/20,,08/06/20,Activated
Kelvin Gutiérrez,KCR,3B/1B,Jul '20,Sprained elbow,Active roster,07/20/20,09/03/20,09/12/20,Activated
Ryan O'Hearn,KCR,1B,Jul '20,COVID-19,Active roster,07/20/20,,07/27/20,Activated
Chance Adams,KCR,SP/RP,Jul '20,TBD,Player Pool,07/20/20,07/30/20,08/07/20,Activated
Julio Teheran,LAA,SP,Jul '20,COVID-19,Active roster,07/20/20,,08/05/20,Activated
Dillon Peters,LAA,SP/RP,Jul '20,Undisclosed,Player Pool,07/20/20,,09/01/20,Activated
José Quijada,LAA,RP,Jul '20,Undisclosed,Player Pool,07/20/20,,08/23/20,Activated
Luis Rengifo,LAA,INF,Jul '20,Strained hamstring,,07/20/20,07/30/20,07/28/20,Activated
José Suarez,LAA,SP/RP,Jul '20,Undisclosed,Player Pool,07/20/20,,08/10/20,Activated
Sean Rodríguez,MIA,INF/OF,Jul '20,Undisclosed,Active roster,08/03/20,,09/15/20,Activated
Matt Joyce,MIA,OF,Jul '20,COVID-19,Active roster,07/20/20,,08/04/20,Activated
Miguel Rojas,MIA,SS,Jul '20,COVID-19,Active roster,08/03/20,,08/20/20,Activated
Adam Conley,MIA,RP,Jul '20,Undisclosed,Outrighted,08/03/20,,08/31/20,Activated
Yimi García,MIA,RP,Jul '20,Undisclosed,Active roster,08/03/20,,08/28/20,Activated
Ryne Stanek,MIA,RP,Jul '20,Undisclosed,Active roster,08/03/20,,09/04/20,Activated
Chad Wallach,MIA,C,Jul '20,Undisclosed,Active roster,08/03/20,,08/29/20,Activated
Jorge Alfaro,MIA,C,Jul '20,COVID-19,Active roster,07/24/20,,08/21/20,Activated
Lewis Brinson,MIA,OF,Jul '20,Undisclosed,Active roster,07/20/20,,08/04/20,Activated
Sandy Alcantara,MIA,SP,Jul '20,Undisclosed,Active roster,08/03/20,,08/30/20,Activated
Jeff Brigham,MIA,RP,Jul '20,Undisclosed,10-Day IL,08/03/20,,09/28/20,No timetable for return
Jordan Holloway,MIA,RP,Jul '20,Undisclosed,10-Day IL,08/02/20,,09/28/20,No timetable for return
Nick Neidert,MIA,SP/RP,Jul '20,Undisclosed,Active roster,08/03/20,,09/13/20,Activated
Robert Dugger,MIA,SP/RP,Jul '20,Undisclosed,Active roster,08/03/20,,08/29/20,Activated
Alex Vesia,MIA,RP,Jul '20,Undisclosed,Player Pool,08/02/20,,08/29/20,Activated
Angel Perdomo,MIL,RP,Jul '20,COVID-19,Player Pool,07/20/20,,08/13/20,Activated
Eric Lauer,MIL,SP,Jul '20,COVID-19,Player Pool,07/20/20,,07/26/20,Activated
Luis Urías,MIL,INF,Jul '20,COVID-19,Active roster,07/20/20,,08/10/20,Activated
Willians Astudillo,MIN,UTL,Jul '20,COVID-19,Active roster,07/20/20,,08/11/20,Activated
Miguel Sanó,MIN,1B,Jul '20,COVID-19,Active roster,07/20/20,,07/24/20,Activated
Nick Gordon,MIN,INF,Jul '20,COVID-19,10-Day IL,07/20/20,,09/28/20,No timetable for return
Jared Hughes,NYM,RP,Jul '20,COVID-19,Active roster,07/20/20,,08/02/20,Activated
Brad Brach,NYM,RP,Jul '20,COVID-19,Active roster,07/20/20,,08/11/20,Activated
Jake Marisnick,NYM,OF,Jul '20,Strained hamstring,,07/29/20,08/08/20,08/28/20,Activated
Robert Gsellman,NYM,RP,Jul '20,Triceps tightness,,07/20/20,07/30/20,08/07/20,Activated
DJ LeMahieu,NYY,INF,Jul '20,COVID-19,,07/20/20,,07/24/20,Activated
Luis Cessa,NYY,RP/SP,Jul '20,COVID-19,Active roster,07/20/20,,08/05/20,Activated
Tommy Hunter,PHI,RP,Jul '20,COVID-19,Active roster,07/20/20,,07/24/20,Activated
Héctor Neris,PHI,RP,Jul '20,COVID-19,Active roster,07/20/20,,07/24/20,Activated
Ranger Suárez,PHI,SP/RP,Jul '20,Undisclosed,Player Pool,07/20/20,,08/31/20,Activated
Scott Kingery,PHI,INF/OF,Jul '20,COVID-19,,07/20/20,,07/24/20,Activated
Gregory Polanco,PIT,OF,Jul '20,COVID-19,Active roster,07/20/20,,07/27/20,Activated
JT Riddle,PIT,INF/OF,Jul '20,Strained abdomen,Active roster,07/20/20,07/30/20,08/05/20,Activated
Keone Kela,PIT,RP,Jul '20,COVID-19,,07/20/20,,08/13/20,Activated
Jorge Mateo,SDP,INF/OF,Jul '20,COVID-19,Active roster,07/22/20,,08/13/20,Activated
Evan Longoria,SFG,3B,Jul '20,Strained oblique,Active roster,07/20/20,07/30/20,07/30/20,Activated
Brandon Belt,SFG,1B,Jul '20,Achilles tendinitis,Active roster,07/20/20,07/30/20,07/30/20,Activated
Jarlín García,SFG,RP,Jul '20,Undisclosed,Active roster,07/20/20,,08/09/20,Activated
Yadier Molina,STL,C,Jul '20,COVID-19,Active roster,08/04/20,,08/20/20,Activated
Brad Miller,STL,INF/OF,Jul '20,Ankle bursitis,Active roster,07/20/20,07/30/20,08/04/20,Activated
Rangel Ravelo,STL,INF/OF,Jul '20,COVID-19,Active roster,08/05/20,,09/02/20,Activated
Carlos Martinez,STL,SP,Jul '20,COVID-19,Active roster,08/04/20,,09/08/20,Activated
Giovanny Gallegos,STL,RP,Jul '20,Undisclosed,Active roster,07/20/20,,07/28/20,Activated
Edmundo Sosa,STL,INF,Jul '20,COVID-19,Player Pool,08/04/20,,08/27/20,Activated
Paul DeJong,STL,SS,Jul '20,COVID-19,Active roster,08/04/20,,08/23/20,Activated
Junior Fernández,STL,RP,Jul '20,COVID-19,Active roster,08/04/20,,07/28/20,Activated
Kodi Whitley,STL,RP,Jul '20,COVID-19,Active roster,08/04/20,,09/22/20,Activated
Austin Meadows,TBR,OF,Jul '20,COVID-19,,07/20/20,,08/04/20,Activated
Brendan McKay,TBR,SP/RP,Jul '20,Undisclosed,Player Pool,07/20/20,,08/30/20,Activated
Randy Arozarena,TBR,OF,Jul '20,Undisclosed,Active roster,07/20/20,,08/30/20,Activated
Rafael Montero,TEX,RP,Jul '20,Elbow tendinitis,Active roster,07/20/20,07/30/20,08/07/20,Activated
Brett Martin,TEX,RP,Jul '20,COVID-19,,07/20/20,,07/28/20,Activated
Wilmer Font,TOR,RP,Jul '20,Undisclosed,,07/20/20,,07/27/20,Activated
Brandon Drury,TOR,INF/OF,Jul '20,Undisclosed,Player Pool,07/20/20,,07/26/20,Activated
Jonathan Davis,TOR,OF,Jul '20,Undisclosed,Active roster,07/20/20,,08/02/20,Activated
Hector Perez,TOR,SP/RP,Jul '20,Undisclosed,Player Pool,07/20/20,,09/16/20,Activated
Elvis Luciano,TOR,SP/RP,Jul '20,Undisclosed,10-Day IL,07/20/20,,09/28/20,No timetable for return
Wander Suero,WSN,RP,Jul '20,Undisclosed,Active roster,07/20/20,,08/04/20,Activated
Masahiro Tanaka,NYY,SP,07/04/20,Concussion,Active roster,07/20/20,07/30/20,08/01/20,Activated
Derek Fisher,TOR,OF,07/04/20,Strained quad,,07/05/20,07/15/20,08/26/20,Activated
Jimmy Nelson,LAD,RP/SP,07/07/20,Lower back surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
José Castillo,SDP,RP,07/08/20,Strained lat,45-Day IL,07/20/20,09/03/20,09/28/20,No timetable for return
Chase Anderson,TOR,SP,07/09/20,Strained oblique,Active roster,07/20/20,07/30/20,08/08/20,Activated
Dillon Tate,BAL,RP,07/10/20,Forearm contusion,10-Day IL,07/20/20,07/30/20,09/28/20,No timetable for return
Cole Hamels,ATL,SP,07/11/20,Triceps tendinitis,,07/20/20,09/03/20,09/16/20,Activated
Jose Quintana,CHC,SP,07/11/20,Thumb surgery (laceration),,07/20/20,07/30/20,08/25/20,Activated
Aroldis Chapman,NYY,RP,07/11/20,COVID-19,Active roster,07/20/20,,08/17/20,Activated
Gerson Bautista,SEA,RP,07/11/20,Strained mass flexor,45-Day IL,07/20/20,09/03/20,09/28/20,No timetable for return
Drew Steckenrider,MIA,RP,07/13/20,Triceps tendinitis,45-Day IL,07/20/20,09/03/20,09/28/20,No timetable for return
Hunter Harvey,BAL,RP,07/14/20,Elbow soreness,Active roster,07/20/20,07/30/20,08/30/20,Activated
Tom Murphy,SEA,C,07/14/20,Fractured foot,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
Richie Martin,BAL,INF,07/15/20,Wrist surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
Walker Lockett,NYM,RP/SP,07/16/20,Lower back discomfort,Active roster,07/20/20,07/30/20,08/11/20,Activated
Luke Maile,PIT,C,07/16/20,Fractured finger,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
Marcus Stroman,NYM,SP,07/17/20,Triceps tightness,Opted out of season,07/20/20,07/30/20,08/10/20,Activated
Anthony DeSclafani,CIN,SP,07/18/20,Strained teres major,Active roster,07/20/20,07/30/20,08/02/20,Activated
Jordan Zimmermann,DET,SP,07/18/20,Strained forearm,Active roster,07/20/20,09/03/20,09/10/20,Activated
Trey Wingenter,SDP,RP,07/18/20,Tommy John surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
Brett Anderson,MIL,SP,07/19/20,Blister on finger,Active roster,07/20/20,07/30/20,08/03/20,Activated
Ray Black,MIL,RP,07/19/20,Shoulder tightness,Active roster,07/20/20,09/03/20,09/14/20,Activated
Tyler Naquin,CLE,OF,07/20/20,Fractured toe,Active roster,07/21/20,07/31/20,08/11/20,Activated
Jake Odorizzi,MIN,SP,07/20/20,Strained intercostal,,07/20/20,07/30/20,08/08/20,Activated
Peter Lambert,COL,SP,07/21/20,Tommy John surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
Hunter Dozier,KCR,INF/OF,07/21/20,COVID-19,Active roster,07/22/20,,08/09/20,Activated
Clayton Kershaw,LAD,SP,07/21/20,Back stiffness,Active roster,07/20/20,07/30/20,08/02/20,Activated
Juan Soto,WSN,OF,07/21/20,COVID-19,Active roster,07/23/20,,08/04/20,Activated
Daniel Descalso,CHC,INF,07/22/20,Sprained ankle,45-Day IL,07/20/20,09/03/20,09/28/20,No timetable for return
Justin Anderson,LAA,RP,07/22/20,Tommy John surgery,45-Day IL,07/20/20,09/03/20,09/28/20,Out for 2020 season
Tyler Flowers,ATL,C,07/24/20,Illness,Active roster,07/24/20,,07/29/20,Activated
Travis d'Arnaud,ATL,C,07/24/20,Illness,Active roster,07/24/20,,07/29/20,Activated
Aledmys Díaz,HOU,INF/OF,07/24/20,Strained groin,Active roster,07/25/20,08/04/20,08/29/20,Activated
Clay Holmes,PIT,RP,07/24/20,Strained forearm,45-Day IL,07/25/20,09/08/20,09/28/20,No timetable for return
Miles Mikolas,STL,SP,07/24/20,Strained forearm,45-Day IL,07/25/20,09/08/20,09/28/20,Out for 2020 season
Brad Wieck,CHC,RP,07/25/20,Strained hamstring,45-Day IL,07/26/20,09/09/20,09/28/20,No timetable for return
Matt Davidson,CIN,1B/3B,07/25/20,COVID-19,Player Pool,07/25/20,,07/31/20,Activated
Robert Stephenson,CIN,RP,07/25/20,Strained back,Active roster,07/26/20,08/05/20,08/24/20,Activated
Alex Wood,LAD,SP,07/25/20,Shoulder inflammation,Active roster,07/26/20,08/05/20,09/01/20,Activated
Eric Hosmer,SDP,1B,07/25/20,Gastritis,,07/29/20,08/08/20,08/08/20,Activated
Brandon Brennan,SEA,RP,07/25/20,Strained oblique,Active roster,07/26/20,09/09/20,09/15/20,Activated
Roenis Elías,WSN,RP,07/25/20,Strained flexor,45-Day IL,07/20/20,09/03/20,09/28/20,No timetable for return
Reynaldo López,CHW,SP,07/26/20,Strained shoulder,Active roster,07/27/20,08/06/20,08/22/20,Activated
Mike Moustakas,CIN,2B,07/26/20,Illness,Active roster,07/26/20,,07/29/20,Activated
Chris Devenski,HOU,RP,07/26/20,Elbow soreness,,07/29/20,08/08/20,09/04/20,Activated
Joe Biagini,HOU,RP,07/26/20,Shoulder soreness,Active roster,07/27/20,08/06/20,08/15/20,Activated
José Ureña,MIA,SP,07/26/20,COVID-19,Active roster,07/27/20,,09/07/20,Activated
Harold Ramírez,MIA,OF,07/26/20,COVID-19,,07/27/20,,09/05/20,Activated
Garrett Cooper,MIA,1B/OF,07/26/20,COVID-19,Active roster,07/27/20,,08/28/20,Activated
Eduardo Núñez,NYM,INF,07/26/20,Knee contusion,45-Day IL,07/27/20,09/10/20,09/28/20,No timetable for return
Corey Kluber,TEX,SP,07/26/20,Strained teres major,45-Day IL,07/27/20,09/10/20,09/28/20,No timetable for return
José Leclerc,TEX,RP,07/26/20,Strained teres major,45-Day IL,07/27/20,09/10/20,09/28/20,No timetable for return
Ken Giles,TOR,RP,07/26/20,Elbow discomfort,,07/27/20,09/10/20,09/11/20,Activated
Wade Miley,CIN,SP,07/27/20,Strained groin,,07/28/20,08/07/20,08/12/20,Activated
Mike Montgomery,KCR,SP,07/27/20,Strained lat,Active roster,07/28/20,09/11/20,09/23/20,Activated
Andrelton Simmons,LAA,SS,07/27/20,Sprained ankle,Active roster,07/28/20,08/07/20,08/21/20,Activated
Kyle Crick,PIT,RP,07/27/20,Strained lat,,07/28/20,08/07/20,08/29/20,Activated
Jimmy Lambert,CHW,RP,07/28/20,Strained forearm,45-Day IL,07/29/20,09/12/20,09/28/20,No timetable for return
Roberto Pérez,CLE,C,07/28/20,Shoulder soreness,Active roster,07/29/20,08/08/20,08/18/20,Activated
Homer Bailey,MIN,SP,07/28/20,Biceps tendinitis,Active roster,07/30/20,09/13/20,09/22/20,Activated
Danny Santana,TEX,INF/OF,07/28/20,Strained forearm,,07/30/20,08/09/20,08/16/20,Activated
Will Harris,WSN,RP,07/28/20,Strained groin,Active roster,07/29/20,08/08/20,08/13/20,Activated
